scenario,region,fuel,Units,1990,2005,2010,2015,2020,2025,2030,2035
Enhanced Ambition,Central Northwest grid,delivered gas,1975$/GJ,2.26243,3.32966,3.3386,2.43558,2.15513,2.46399,2.18544,2.00926
Enhanced Ambition,Central Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,Central Southwest grid,delivered gas,1975$/GJ,2.23593,3.30316,3.3121,2.40908,2.12863,2.43749,2.15894,1.98276
Enhanced Ambition,Central Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,CO,elect_td_bld,1975$/GJ,14.0251,12.1213,12.0376,11.141,7.43734,6.85359,7.53583,7.95653
Enhanced Ambition,CT,elect_td_bld,1975$/GJ,15.6231,15.0862,15.0397,13.1455,9.02799,8.16782,8.61325,8.56719
Enhanced Ambition,DC,elect_td_bld,1975$/GJ,14.5636,13.5001,13.5369,12.2164,8.63726,7.57478,7.63231,7.9424
Enhanced Ambition,DE,elect_td_bld,1975$/GJ,14.5636,13.5001,13.5369,12.2164,8.63636,7.57394,7.6309,7.93924
Enhanced Ambition,FL,elect_td_bld,1975$/GJ,13.7667,12.9195,12.7179,10.7511,7.63024,7.47707,8.29124,8.839
Enhanced Ambition,Florida grid,delivered gas,1975$/GJ,2.04073,3.10796,3.1169,2.21388,1.93343,2.24229,1.96374,1.78756
Enhanced Ambition,Florida grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,GA,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94818,7.77354,8.21041,8.7626
Enhanced Ambition,Hawaii grid,delivered gas,1975$/GJ,7.34183,8.40906,8.418,7.51498,7.23453,7.54339,7.26484,7.08866
Enhanced Ambition,Hawaii grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,HI,elect_td_bld,1975$/GJ,17.8476,16.6485,22.193,21.8854,12.7372,14.1185,13.0718,12.9085
Enhanced Ambition,IA,elect_td_bld,1975$/GJ,14.328,12.6013,12.4122,11.6872,7.78645,7.42467,8.6176,8.66994
Enhanced Ambition,ID,elect_td_bld,1975$/GJ,14.799,12.8468,12.817,11.9321,7.67597,6.85806,7.20343,7.36552
