"","scenario","sector","technology","subsector","Units","USREP_region","year","invest","PercentChangeFromCPOL"
"144","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","GulfCoast","2035",0.0206995752849543,0
"145","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","MidA","2020",0.22233350116444,0
"146","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","MidA","2025",0.24943306532477,0
"147","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","MidA","2030",0.187400621870125,0
"148","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","MidA","2035",0.171820384014747,0
"149","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Midcontinent","2020",0.12025613535409,0
"150","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Midcontinent","2025",0.13533114906126,0
"151","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Midcontinent","2030",0.101492303278026,0
"152","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Midcontinent","2035",0.0932908926707438,0
"153","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Midwest","2020",0.22642095466724,0
"154","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Midwest","2025",0.25444613780693,0
"155","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Midwest","2030",0.192136226146614,0
"156","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Midwest","2035",0.179106347670521,0
"157","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","NewEngland","2020",0.84330386496714,0
"158","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","NewEngland","2025",0.95219141645578,0
"159","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","NewEngland","2030",0.72567091295983,0
"160","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","NewEngland","2035",0.689540841403615,0
"161","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","PacificNorthwest","2020",0.02203906360548,0
"162","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","PacificNorthwest","2025",0.02425907652072,0
"163","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","PacificNorthwest","2030",0.0183548292117974,0
"164","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","PacificNorthwest","2035",0.0168057876032365,0
"165","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","RockiesCentral","2020",0.03898791069525,0
"166","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","RockiesCentral","2025",0.04346606851691,0
"167","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","RockiesCentral","2030",0.0328199013505846,0
"168","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","RockiesCentral","2035",0.0303416666109255,0
"169","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","SouthAtlantic","2020",0.0421402440745,0
"170","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","SouthAtlantic","2025",0.04755118894735,0
"171","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","SouthAtlantic","2030",0.0355043305327195,0
"172","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","SouthAtlantic","2035",0.0327948011887265,0
"173","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","West","2020",0.03211631180838,0
"174","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","West","2025",0.03487359967033,0
"175","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","West","2030",0.0267743316771957,0
"176","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","West","2035",0.0149413004941259,0
"177","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","AK-HI","2020",0.000836385573365,0
"178","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","AK-HI","2025",0.000979000492318,0
"179","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","AK-HI","2030",0.000821449910646796,0
"180","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","AK-HI","2035",0.00116001654560667,0
"181","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Appalachia","2020",0.01757106427456,0
"182","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Appalachia","2025",0.02063725629955,0
"183","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Appalachia","2030",0.0167063230917358,0
"184","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Appalachia","2035",0.022061987839447,0
"185","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","GulfCoast","2020",0.001472439761,0
"186","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","GulfCoast","2025",0.00172057359637,0
"187","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","GulfCoast","2030",0.00135255938791286,0
"188","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","GulfCoast","2035",0.00203725258464102,0
"189","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","MidA","2020",0.01278505045583,0
"190","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","MidA","2025",0.01497280702106,0
"191","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","MidA","2030",0.0119540672700733,0
"192","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","MidA","2035",0.0151634627622183,0
"193","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Midcontinent","2020",0.00703400460462,0
"194","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Midcontinent","2025",0.00826610221858,0
"195","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Midcontinent","2030",0.00655321558211759,0
"196","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Midcontinent","2035",0.00830829189903606,0
