"","scenario","subsector","Units","USREP_region","year","value","PercentChangeFromCPOL"
"166","Current Policies","gas","Billions 1975$","RockiesCentral","2025",NA,NA
"167","Current Policies","gas","Billions 1975$","RockiesCentral","2030",NA,NA
"168","Current Policies","gas","Billions 1975$","RockiesCentral","2035",NA,NA
"169","Current Policies","gas","Billions 1975$","SouthAtlantic","2020",NA,NA
"170","Current Policies","gas","Billions 1975$","SouthAtlantic","2025",NA,NA
"171","Current Policies","gas","Billions 1975$","SouthAtlantic","2030",NA,NA
"172","Current Policies","gas","Billions 1975$","SouthAtlantic","2035",NA,NA
"173","Current Policies","gas","Billions 1975$","West","2020",NA,NA
"174","Current Policies","gas","Billions 1975$","West","2025",NA,NA
"175","Current Policies","gas","Billions 1975$","West","2030",NA,NA
"176","Current Policies","gas","Billions 1975$","West","2035",NA,NA
"177","Current Policies","refined liquids","Billions 1975$","AK-HI","2020",NA,NA
"178","Current Policies","refined liquids","Billions 1975$","AK-HI","2025",NA,NA
"179","Current Policies","refined liquids","Billions 1975$","AK-HI","2030",NA,NA
"180","Current Policies","refined liquids","Billions 1975$","AK-HI","2035",NA,NA
"181","Current Policies","refined liquids","Billions 1975$","Appalachia","2020",NA,NA
"182","Current Policies","refined liquids","Billions 1975$","Appalachia","2025",NA,NA
"183","Current Policies","refined liquids","Billions 1975$","Appalachia","2030",NA,NA
"184","Current Policies","refined liquids","Billions 1975$","Appalachia","2035",NA,NA
"185","Current Policies","refined liquids","Billions 1975$","GulfCoast","2020",NA,NA
"186","Current Policies","refined liquids","Billions 1975$","GulfCoast","2025",NA,NA
"187","Current Policies","refined liquids","Billions 1975$","GulfCoast","2030",NA,NA
"188","Current Policies","refined liquids","Billions 1975$","GulfCoast","2035",NA,NA
"189","Current Policies","refined liquids","Billions 1975$","MidA","2020",NA,NA
"190","Current Policies","refined liquids","Billions 1975$","MidA","2025",NA,NA
"191","Current Policies","refined liquids","Billions 1975$","MidA","2030",NA,NA
"192","Current Policies","refined liquids","Billions 1975$","MidA","2035",NA,NA
"193","Current Policies","refined liquids","Billions 1975$","Midcontinent","2020",NA,NA
"194","Current Policies","refined liquids","Billions 1975$","Midcontinent","2025",NA,NA
"195","Current Policies","refined liquids","Billions 1975$","Midcontinent","2030",NA,NA
"196","Current Policies","refined liquids","Billions 1975$","Midcontinent","2035",NA,NA
"197","Current Policies","refined liquids","Billions 1975$","Midwest","2020",NA,NA
"198","Current Policies","refined liquids","Billions 1975$","Midwest","2025",NA,NA
"199","Current Policies","refined liquids","Billions 1975$","Midwest","2030",NA,NA
"200","Current Policies","refined liquids","Billions 1975$","Midwest","2035",NA,NA
"201","Current Policies","refined liquids","Billions 1975$","NewEngland","2020",NA,NA
"202","Current Policies","refined liquids","Billions 1975$","NewEngland","2025",NA,NA
"203","Current Policies","refined liquids","Billions 1975$","NewEngland","2030",NA,NA
"204","Current Policies","refined liquids","Billions 1975$","NewEngland","2035",NA,NA
"205","Current Policies","refined liquids","Billions 1975$","PacificNorthwest","2020",NA,NA
"206","Current Policies","refined liquids","Billions 1975$","PacificNorthwest","2025",NA,NA
"207","Current Policies","refined liquids","Billions 1975$","PacificNorthwest","2030",NA,NA
"208","Current Policies","refined liquids","Billions 1975$","PacificNorthwest","2035",NA,NA
"209","Current Policies","refined liquids","Billions 1975$","RockiesCentral","2020",NA,NA
"210","Current Policies","refined liquids","Billions 1975$","RockiesCentral","2025",NA,NA
"211","Current Policies","refined liquids","Billions 1975$","RockiesCentral","2030",NA,NA
"212","Current Policies","refined liquids","Billions 1975$","RockiesCentral","2035",NA,NA
"213","Current Policies","refined liquids","Billions 1975$","SouthAtlantic","2020",NA,NA
"214","Current Policies","refined liquids","Billions 1975$","SouthAtlantic","2025",NA,NA
"215","Current Policies","refined liquids","Billions 1975$","SouthAtlantic","2030",NA,NA
"216","Current Policies","refined liquids","Billions 1975$","SouthAtlantic","2035",NA,NA
"217","Current Policies","refined liquids","Billions 1975$","West","2020",NA,NA
"218","Current Policies","refined liquids","Billions 1975$","West","2025",NA,NA
"219","Current Policies","refined liquids","Billions 1975$","West","2030",NA,NA
"220","Current Policies","refined liquids","Billions 1975$","West","2035",NA,NA
"221","Enhanced Ambition","biomass","Billions 1975$","AK-HI","2020",NA,NA
"222","Enhanced Ambition","biomass","Billions 1975$","AK-HI","2025",NA,NA
"223","Enhanced Ambition","biomass","Billions 1975$","AK-HI","2030",NA,NA
"224","Enhanced Ambition","biomass","Billions 1975$","AK-HI","2035",NA,NA
"225","Enhanced Ambition","biomass","Billions 1975$","Appalachia","2020",NA,NA
"226","Enhanced Ambition","biomass","Billions 1975$","Appalachia","2025",NA,NA
"227","Enhanced Ambition","biomass","Billions 1975$","Appalachia","2030",NA,NA
"228","Enhanced Ambition","biomass","Billions 1975$","Appalachia","2035",NA,NA
"229","Enhanced Ambition","biomass","Billions 1975$","GulfCoast","2020",NA,NA
"230","Enhanced Ambition","biomass","Billions 1975$","GulfCoast","2025",NA,NA
"231","Enhanced Ambition","biomass","Billions 1975$","GulfCoast","2030",NA,NA
"232","Enhanced Ambition","biomass","Billions 1975$","GulfCoast","2035",NA,NA
"233","Enhanced Ambition","biomass","Billions 1975$","MidA","2020",NA,NA
"234","Enhanced Ambition","biomass","Billions 1975$","MidA","2025",NA,NA
"235","Enhanced Ambition","biomass","Billions 1975$","MidA","2030",NA,NA
"236","Enhanced Ambition","biomass","Billions 1975$","MidA","2035",NA,NA
"237","Enhanced Ambition","biomass","Billions 1975$","Midcontinent","2020",NA,NA
"238","Enhanced Ambition","biomass","Billions 1975$","Midcontinent","2025",NA,NA
"239","Enhanced Ambition","biomass","Billions 1975$","Midcontinent","2030",NA,NA
"240","Enhanced Ambition","biomass","Billions 1975$","Midcontinent","2035",NA,NA
"241","Enhanced Ambition","biomass","Billions 1975$","Midwest","2020",NA,NA
"242","Enhanced Ambition","biomass","Billions 1975$","Midwest","2025",NA,NA
"243","Enhanced Ambition","biomass","Billions 1975$","Midwest","2030",NA,NA
"244","Enhanced Ambition","biomass","Billions 1975$","Midwest","2035",NA,NA
"245","Enhanced Ambition","biomass","Billions 1975$","NewEngland","2020",NA,NA
"246","Enhanced Ambition","biomass","Billions 1975$","NewEngland","2025",NA,NA
"247","Enhanced Ambition","biomass","Billions 1975$","NewEngland","2030",NA,NA
"248","Enhanced Ambition","biomass","Billions 1975$","NewEngland","2035",NA,NA
"249","Enhanced Ambition","biomass","Billions 1975$","PacificNorthwest","2020",NA,NA
"250","Enhanced Ambition","biomass","Billions 1975$","PacificNorthwest","2025",NA,NA
"251","Enhanced Ambition","biomass","Billions 1975$","PacificNorthwest","2030",NA,NA
"252","Enhanced Ambition","biomass","Billions 1975$","PacificNorthwest","2035",NA,NA
"253","Enhanced Ambition","biomass","Billions 1975$","RockiesCentral","2020",NA,NA
"254","Enhanced Ambition","biomass","Billions 1975$","RockiesCentral","2025",NA,NA
"255","Enhanced Ambition","biomass","Billions 1975$","RockiesCentral","2030",NA,NA
"256","Enhanced Ambition","biomass","Billions 1975$","RockiesCentral","2035",NA,NA
"257","Enhanced Ambition","biomass","Billions 1975$","SouthAtlantic","2020",NA,NA
"258","Enhanced Ambition","biomass","Billions 1975$","SouthAtlantic","2025",NA,NA
"259","Enhanced Ambition","biomass","Billions 1975$","SouthAtlantic","2030",NA,NA
"260","Enhanced Ambition","biomass","Billions 1975$","SouthAtlantic","2035",NA,NA
"261","Enhanced Ambition","biomass","Billions 1975$","West","2020",NA,NA
"262","Enhanced Ambition","biomass","Billions 1975$","West","2025",NA,NA
"263","Enhanced Ambition","biomass","Billions 1975$","West","2030",NA,NA
"264","Enhanced Ambition","biomass","Billions 1975$","West","2035",NA,NA
"265","Enhanced Ambition","coal","Billions 1975$","AK-HI","2020",NA,NA
"266","Enhanced Ambition","coal","Billions 1975$","AK-HI","2025",NA,NA
"267","Enhanced Ambition","coal","Billions 1975$","AK-HI","2030",NA,NA
"268","Enhanced Ambition","coal","Billions 1975$","AK-HI","2035",NA,NA
"269","Enhanced Ambition","coal","Billions 1975$","Appalachia","2020",NA,NA
"270","Enhanced Ambition","coal","Billions 1975$","Appalachia","2025",NA,NA
"271","Enhanced Ambition","coal","Billions 1975$","Appalachia","2030",NA,NA
"272","Enhanced Ambition","coal","Billions 1975$","Appalachia","2035",NA,NA
"273","Enhanced Ambition","coal","Billions 1975$","GulfCoast","2020",NA,NA
"274","Enhanced Ambition","coal","Billions 1975$","GulfCoast","2025",NA,NA
"275","Enhanced Ambition","coal","Billions 1975$","GulfCoast","2030",NA,NA
"276","Enhanced Ambition","coal","Billions 1975$","GulfCoast","2035",NA,NA
"277","Enhanced Ambition","coal","Billions 1975$","MidA","2020",NA,NA
"278","Enhanced Ambition","coal","Billions 1975$","MidA","2025",NA,NA
"279","Enhanced Ambition","coal","Billions 1975$","MidA","2030",NA,NA
"280","Enhanced Ambition","coal","Billions 1975$","MidA","2035",NA,NA
"281","Enhanced Ambition","coal","Billions 1975$","Midcontinent","2020",NA,NA
"282","Enhanced Ambition","coal","Billions 1975$","Midcontinent","2025",NA,NA
"283","Enhanced Ambition","coal","Billions 1975$","Midcontinent","2030",NA,NA
"284","Enhanced Ambition","coal","Billions 1975$","Midcontinent","2035",NA,NA
"285","Enhanced Ambition","coal","Billions 1975$","Midwest","2020",NA,NA
"286","Enhanced Ambition","coal","Billions 1975$","Midwest","2025",NA,NA
"287","Enhanced Ambition","coal","Billions 1975$","Midwest","2030",NA,NA
"288","Enhanced Ambition","coal","Billions 1975$","Midwest","2035",NA,NA
"289","Enhanced Ambition","coal","Billions 1975$","NewEngland","2020",NA,NA
"290","Enhanced Ambition","coal","Billions 1975$","NewEngland","2025",NA,NA
"291","Enhanced Ambition","coal","Billions 1975$","NewEngland","2030",NA,NA
"292","Enhanced Ambition","coal","Billions 1975$","NewEngland","2035",NA,NA
"293","Enhanced Ambition","coal","Billions 1975$","PacificNorthwest","2020",NA,NA
"294","Enhanced Ambition","coal","Billions 1975$","PacificNorthwest","2025",NA,NA
"295","Enhanced Ambition","coal","Billions 1975$","PacificNorthwest","2030",NA,NA
"296","Enhanced Ambition","coal","Billions 1975$","PacificNorthwest","2035",NA,NA
"297","Enhanced Ambition","coal","Billions 1975$","RockiesCentral","2020",NA,NA
"298","Enhanced Ambition","coal","Billions 1975$","RockiesCentral","2025",NA,NA
"299","Enhanced Ambition","coal","Billions 1975$","RockiesCentral","2030",NA,NA
"300","Enhanced Ambition","coal","Billions 1975$","RockiesCentral","2035",NA,NA
"301","Enhanced Ambition","coal","Billions 1975$","SouthAtlantic","2020",NA,NA
"302","Enhanced Ambition","coal","Billions 1975$","SouthAtlantic","2025",NA,NA
"303","Enhanced Ambition","coal","Billions 1975$","SouthAtlantic","2030",NA,NA
"304","Enhanced Ambition","coal","Billions 1975$","SouthAtlantic","2035",NA,NA
"305","Enhanced Ambition","coal","Billions 1975$","West","2020",NA,NA
